publication_date,date,N
2020-04-15,2020-03-12,0
2020-04-15,2020-03-13,1
2020-04-15,2020-03-14,1
2020-04-15,2020-03-15,2
2020-04-15,2020-03-16,2
2020-04-15,2020-03-17,1
2020-04-15,2020-03-18,6
2020-04-15,2020-03-19,7
2020-04-15,2020-03-20,10
2020-04-15,2020-03-21,7
2020-04-15,2020-03-22,12
2020-04-15,2020-03-23,11
2020-04-15,2020-03-24,20
2020-04-15,2020-03-25,25
2020-04-15,2020-03-26,30
2020-04-15,2020-03-27,32
2020-04-15,2020-03-28,35
2020-04-15,2020-03-29,38
2020-04-15,2020-03-30,42
2020-04-15,2020-03-31,43
2020-04-15,2020-04-01,49
2020-04-15,2020-04-02,68
2020-04-15,2020-04-03,69
2020-04-15,2020-04-04,60
2020-04-15,2020-04-05,78
2020-04-15,2020-04-06,82
2020-04-15,2020-04-07,70
2020-04-15,2020-04-08,90
2020-04-15,2020-04-09,55
2020-04-15,2020-04-10,52
2020-04-15,2020-04-11,50
2020-04-15,2020-04-12,54
2020-04-15,2020-04-13,45
2020-04-15,2020-04-14,31
2020-04-15,2020-04-15,6
2020-04-16,,18
2020-04-16,2020-03-01,0
2020-04-16,2020-03-02,0
2020-04-16,2020-03-03,0
2020-04-16,2020-03-04,0
2020-04-16,2020-03-05,0
2020-04-16,2020-03-06,0
2020-04-16,2020-03-07,0
2020-04-16,2020-03-08,0
2020-04-16,2020-03-09,0
2020-04-16,2020-03-10,0
2020-04-16,2020-03-11,1
2020-04-16,2020-03-12,0
2020-04-16,2020-03-13,1
2020-04-16,2020-03-14,1
2020-04-16,2020-03-15,2
2020-04-16,2020-03-16,2
2020-04-16,2020-03-17,1
2020-04-16,2020-03-18,6
2020-04-16,2020-03-19,7
2020-04-16,2020-03-20,10
2020-04-16,2020-03-21,7
2020-04-16,2020-03-22,12
2020-04-16,2020-03-23,11
2020-04-16,2020-03-24,20
2020-04-16,2020-03-25,25
2020-04-16,2020-03-26,30
2020-04-16,2020-03-27,32
2020-04-16,2020-03-28,35
2020-04-16,2020-03-29,38
2020-04-16,2020-03-30,42
2020-04-16,2020-03-31,43
2020-04-16,2020-04-01,50
2020-04-16,2020-04-02,68
2020-04-16,2020-04-03,71
2020-04-16,2020-04-04,61
2020-04-16,2020-04-05,79
2020-04-16,2020-04-06,85
2020-04-16,2020-04-07,75
2020-04-16,2020-04-08,97
2020-04-16,2020-04-09,63
2020-04-16,2020-04-10,62
2020-04-16,2020-04-11,61
2020-04-16,2020-04-12,62
2020-04-16,2020-04-13,55
2020-04-16,2020-04-14,49
2020-04-16,2020-04-15,41
2020-04-16,2020-04-16,10
2020-04-17,,17
2020-04-17,2020-03-01,0
2020-04-17,2020-03-02,0
2020-04-17,2020-03-03,0
2020-04-17,2020-03-04,0
2020-04-17,2020-03-05,0
2020-04-17,2020-03-06,0
2020-04-17,2020-03-07,0
2020-04-17,2020-03-08,0
2020-04-17,2020-03-09,0
2020-04-17,2020-03-10,0
2020-04-17,2020-03-11,1
2020-04-17,2020-03-12,0
2020-04-17,2020-03-13,1
2020-04-17,2020-03-14,1
2020-04-17,2020-03-15,2
2020-04-17,2020-03-16,2
2020-04-17,2020-03-17,1
2020-04-17,2020-03-18,6
2020-04-17,2020-03-19,7
2020-04-17,2020-03-20,10
2020-04-17,2020-03-21,7
2020-04-17,2020-03-22,12
2020-04-17,2020-03-23,11
2020-04-17,2020-03-24,20
2020-04-17,2020-03-25,25
2020-04-17,2020-03-26,29
2020-04-17,2020-03-27,32
2020-04-17,2020-03-28,35
2020-04-17,2020-03-29,38
2020-04-17,2020-03-30,43
2020-04-17,2020-03-31,44
2020-04-17,2020-04-01,50
2020-04-17,2020-04-02,67
2020-04-17,2020-04-03,75
2020-04-17,2020-04-04,66
2020-04-17,2020-04-05,79
2020-04-17,2020-04-06,87
2020-04-17,2020-04-07,76
2020-04-17,2020-04-08,99
2020-04-17,2020-04-09,66
2020-04-17,2020-04-10,62
2020-04-17,2020-04-11,63
2020-04-17,2020-04-12,67
2020-04-17,2020-04-13,56
2020-04-17,2020-04-14,56
2020-04-17,2020-04-15,45
2020-04-17,2020-04-16,38
2020-04-17,2020-04-17,4
2020-04-18,,19
2020-04-18,2020-03-01,0
2020-04-18,2020-03-02,0
2020-04-18,2020-03-03,0
2020-04-18,2020-03-04,0
2020-04-18,2020-03-05,0
2020-04-18,2020-03-06,0
2020-04-18,2020-03-07,0
2020-04-18,2020-03-08,0
2020-04-18,2020-03-09,0
2020-04-18,2020-03-10,0
2020-04-18,2020-03-11,1
2020-04-18,2020-03-12,0
2020-04-18,2020-03-13,1
2020-04-18,2020-03-14,1
2020-04-18,2020-03-15,2
2020-04-18,2020-03-16,2
2020-04-18,2020-03-17,1
2020-04-18,2020-03-18,6
2020-04-18,2020-03-19,7
2020-04-18,2020-03-20,10
2020-04-18,2020-03-21,7
2020-04-18,2020-03-22,12
2020-04-18,2020-03-23,11
2020-04-18,2020-03-24,20
2020-04-18,2020-03-25,25
2020-04-18,2020-03-26,29
2020-04-18,2020-03-27,32
2020-04-18,2020-03-28,35
2020-04-18,2020-03-29,38
